,Year,State,State_Minimum_Wage
968,2010,GA,5.15
969,2010,HI,7.25
970,2010,IA,7.25
971,2010,ID,7.25
972,2010,IL,8.25
973,2010,IN,7.25
974,2010,KS,7.25
975,2010,KY,7.25
976,2010,LA,7.25
977,2010,MA,8.0
978,2010,MD,7.25
979,2010,ME,7.5
980,2010,MI,7.4
981,2010,MN,5.25
982,2010,MO,7.25
983,2010,MS,7.25
984,2010,MT,4.0
985,2010,NC,7.25
986,2010,ND,7.25
987,2010,NE,7.25
988,2010,NH,7.25
989,2010,NJ,7.25
990,2010,NM,7.5
991,2010,NV,6.55
992,2010,NY,7.25
993,2010,OH,7.3
994,2010,OK,2.0
995,2010,OR,8.4
996,2010,PA,7.25
997,2010,RI,7.4
998,2010,SC,7.25
999,2010,SD,7.25
1000,2010,TN,7.25
1001,2010,TX,7.25
1002,2010,UT,7.25
1003,2010,VA,7.25
1004,2010,WA,8.55
1005,2010,WI,7.25
1006,2010,WV,7.25
1007,2010,WY,5.15
1008,2011,AL,7.25
1009,2011,AR,6.25
1010,2011,AZ,7.35
1011,2011,CA,8.0
1012,2011,CO,7.36
1013,2011,CT,8.25
1014,2011,DE,7.25
1015,2011,FL,7.25
1016,2011,GA,5.15
1017,2011,HI,7.25
1018,2011,IA,7.25
1019,2011,ID,7.25
1020,2011,IL,8.25
1021,2011,IN,7.25
1022,2011,KS,7.25
1023,2011,KY,7.25
1024,2011,LA,7.25
1025,2011,MA,8.0
1026,2011,MD,7.25
1027,2011,ME,7.5
1028,2011,MI,7.4
1029,2011,MN,5.25
1030,2011,MO,7.25
1031,2011,MS,7.25
1032,2011,MT,4.0
1033,2011,NC,7.25
1034,2011,ND,7.25
1035,2011,NE,7.25
1036,2011,NH,7.25
1037,2011,NJ,7.25
1038,2011,NM,7.5
1039,2011,NV,7.25
1040,2011,NY,7.25
1041,2011,OH,7.4
1042,2011,OK,2.0
1043,2011,OR,8.5
1044,2011,PA,7.25
1045,2011,RI,7.4
1046,2011,SC,7.25
1047,2011,SD,7.25
1048,2011,TN,7.25
1049,2011,TX,7.25
1050,2011,UT,7.25
1051,2011,VA,7.25
1052,2011,WA,8.67
1053,2011,WI,7.25
1054,2011,WV,7.25
1055,2011,WY,5.15
1056,2012,AL,7.25
1057,2012,AR,6.25
1058,2012,AZ,7.65
1059,2012,CA,8.0
1060,2012,CO,7.64
1061,2012,CT,8.25
1062,2012,DE,7.25
1063,2012,FL,7.67
1064,2012,GA,5.15
1065,2012,HI,7.25
1066,2012,IA,7.25
1067,2012,ID,7.25
1068,2012,IL,8.25
1069,2012,IN,7.25
1070,2012,KS,7.25
1071,2012,KY,7.25
1072,2012,LA,7.25
1073,2012,MA,8.0
1074,2012,MD,7.25
1075,2012,ME,7.5
1076,2012,MI,7.4
1077,2012,MN,5.25
1078,2012,MO,7.25
1079,2012,MS,7.25
1080,2012,MT,4.0
1081,2012,NC,7.25
1082,2012,ND,7.25
1083,2012,NE,7.25
1084,2012,NH,7.25
1085,2012,NJ,7.25
1086,2012,NM,7.5
1087,2012,NV,7.25
1088,2012,NY,7.25
1089,2012,OH,7.7
1090,2012,OK,2.0
1091,2012,OR,8.8
1092,2012,PA,7.25
1093,2012,RI,7.4
1094,2012,SC,7.25
