,Year,State,Income
593,2020,MA,87810.0
594,2020,MD,94790.0
595,2020,ME,63690.0
596,2020,MI,64390.0
597,2020,MN,78750.0
598,2020,MO,62180.0
599,2020,MS,45130.0
600,2020,MT,56740.0
601,2020,NC,60430.0
602,2020,ND,64120.0
603,2020,NE,72250.0
604,2020,NH,88890.0
605,2020,NJ,85550.0
606,2020,NM,50910.0
607,2020,NV,61160.0
608,2020,NY,68660.0
609,2020,OH,60380.0
610,2020,OK,52470.0
611,2020,OR,76860.0
612,2020,PA,70790.0
613,2020,RI,80180.0
614,2020,SC,60340.0
615,2020,SD,70190.0
616,2020,TN,54980.0
617,2020,TX,68400.0
618,2020,UT,83990.0
619,2020,VA,82210.0
620,2020,WA,81360.0
621,2020,WI,67410.0
622,2020,WV,51970.0
623,2020,WY,65450.0
624,2021,AL,56930.0
625,2021,AR,50780.0
626,2021,AZ,70820.0
627,2021,CA,81580.0
628,2021,CO,84950.0
629,2021,CT,80960.0
630,2021,DE,68690.0
631,2021,FL,59730.0
632,2021,GA,61500.0
633,2021,HI,82200.0
634,2021,IA,72430.0
635,2021,ID,76920.0
636,2021,IL,79250.0
637,2021,IN,70190.0
638,2021,KS,75980.0
639,2021,KY,55630.0
640,2021,LA,57210.0
641,2021,MA,86570.0
642,2021,MD,97330.0
643,2021,ME,71140.0
644,2021,MI,64490.0
645,2021,MN,80440.0
646,2021,MO,63590.0
647,2021,MS,46640.0
648,2021,MT,65000.0
649,2021,NC,62890.0
650,2021,ND,68880.0
651,2021,NE,78110.0
652,2021,NH,88840.0
653,2021,NJ,88560.0
654,2021,NM,53460.0
655,2021,NV,64340.0
656,2021,NY,72920.0
657,2021,OH,62690.0
658,2021,OK,60100.0
659,2021,OR,81860.0
660,2021,PA,72630.0
661,2021,RI,74980.0
662,2021,SC,62540.0
663,2021,SD,73890.0
664,2021,TN,62170.0
665,2021,TX,67400.0
666,2021,UT,87650.0
667,2021,VA,80270.0
668,2021,WA,87650.0
669,2021,WI,69940.0
670,2021,WV,46840.0
671,2021,WY,71050.0
672,2022,AL,59910.0
673,2022,AR,53980.0
674,2022,AZ,73450.0
675,2022,CA,85300.0
676,2022,CO,89930.0
677,2022,CT,90730.0
678,2022,DE,80750.0
679,2022,FL,65370.0
680,2022,GA,67730.0
681,2022,HI,91010.0
682,2022,IA,76320.0
683,2022,ID,72580.0
684,2022,IL,78020.0
685,2022,IN,70030.0
686,2022,KS,73040.0
687,2022,KY,55880.0
688,2022,LA,58330.0
689,2022,MA,93550.0
690,2022,MD,108200.0
691,2022,ME,75160.0
692,2022,MI,68990.0
693,2022,MN,90390.0
694,2022,MO,71520.0
695,2022,MS,48610.0
696,2022,MT,72980.0
697,2022,NC,65070.0
698,2022,ND,78720.0
699,2022,NE,78360.0
700,2022,NH,84970.0
701,2022,NJ,92340.0
702,2022,NM,56420.0
703,2022,NV,72330.0
704,2022,NY,75910.0
705,2022,OH,67520.0
706,2022,OK,63440.0
707,2022,OR,86780.0
708,2022,PA,72210.0
709,2022,RI,80650.0
710,2022,SC,61770.0
711,2022,SD,67180.0
712,2022,TN,65380.0
713,2022,TX,74640.0
714,2022,UT,95800.0
715,2022,VA,85170.0
716,2022,WA,89430.0
717,2022,WI,73330.0
718,2022,WV,52460.0
719,2022,WY,73090.0
